tipo_logradouro,nome_logradouro,numero,bairro,cep,lat,lng
Rua,Santo Antonio de Padua,75,Vigario Geral,21011781,-22.806304,-43.301129
Rua,Matricaria,79,Guadalupe,21670420,-22.846334,-43.374504
Rua,Matricaria,91,Guadalupe,21670420,-22.846450,-43.374611
Rua,Dezoito de Abril do Parque Uniao,30,Mare,21044020,-22.849230,-43.243259
Rua,Dezoito de Abril do Parque Uniao,60,Mare,21044020,-22.848786,-43.244028
Rua,Dezoito de Abril do Parque Uniao,14,Mare,21044020,-22.849339,-43.243023
Rua,Xaxa,13,Rio das Pedras,22753039,-22.975134,-43.334705
Rua,Xaxa,5,Rio das Pedras,22753039,-22.975232,-43.334953
Rua,Xaxa,3,Rio das Pedras,22753039,-22.975385,-43.335072
Estrada,Do Rio do A,283,Campo Grande,23080300,-22.894618,-43.560437
Rua,Roberto Marinho,16,Jardim America,21240800,-22.803110,-43.314917
Rua,Cuba,183,Penha,21020160,-22.831300,-43.273130
Rua,Cuba,195,Penha,21020160,-22.831154,-43.273437
Rua,Guatemala,168,Penha,21020170,-22.832951,-43.272986
Rua,Guatemala,174,Penha,21020170,-22.832877,-43.273059
Travessa,Paraguacu,69,Realengo,21735180,-22.873550,-43.420611
Travessa,Paraguacu,239,Realengo,21735180,-22.873228,-43.420524
Travessa,Paraguacu,13,Realengo,21735180,-22.873096,-43.420566
Travessa,Paraguacu,109,Realengo,21735180,-22.873040,-43.420485
Travessa,Paraguacu,0,Realengo,21735180,-22.873023,-43.420432
Rua,Galileia,465,Santa Cruz,23575330,-22.900675,-43.659874
Rua,Dezoito de Abril do Parque Uniao,65,Mare,21044020,-22.848492,-43.244914
Rua,Perianta,77,Inhauma,20766080,-22.869314,-43.280867
Rua,Dezoito de Abril do Parque Uniao,50,Mare,21044020,-22.848555,-43.244032
Travessa,Santa Laura,3,Jacarezinho,20973300,-22.887098,-43.256621
Travessa,Santa Laura,5,Jacarezinho,20973300,-22.887186,-43.256651
Avenida,Brasil,55300,Santa Cruz,23575000,-22.892358,-43.677208
Rua,Senador Gabriel Salgado,22,Rio de Janeiro,21630320,-22.824642,-43.411376
Travessa,Maravilha,34,Bangu,21815200,-22.892497,-43.456350
Travessa,Maravilha,80,Bangu,21815200,-22.893875,-43.457279
Rua,Projetada Dois,27,Inhoaiba,23056000,-22.924115,-43.605277
Rua,Projetada Dois,25,Inhoaiba,23056000,-22.923985,-43.605214
Rua,Projetada Dois,24,Inhoaiba,23056000,-22.924163,-43.605012
Rua,Marino Ramos,160,Rio de Janeiro,22725395,-22.911886,-43.385005
Travessa,Manicore,36,Olaria,21073450,-22.851539,-43.271966
Travessa,Manicore,112,Olaria,21073450,-22.851122,-43.271401
Rua,Conselheiro Mairink,222,Jacare,20960140,-22.892456,-43.251412
Rua,Conselheiro Mairink,220,Jacare,20960140,-22.892638,-43.251377
Rua,Galileia,463,Santa Cruz,23575330,-22.900762,-43.659816
